dataset,inference_time_ms,k-means,k-medians,spectral_clustering,ward,agglomerative,dbscan,hdbscan,optics,birch,gaussian,mean_shift,affinity_propagation
BreastTissue,1053.7550000008196,0.45435237884521484,0.47172799706459045,0.6145665049552917,0.5346890091896057,0.5960294604301453,0.5691747665405273,0.567107617855072,0.5855395793914795,0.5654350519180298,0.5754614472389221,0.5791425108909607,0.38550135493278503
BreastWisconsin,34.7071000142023,0.36505770683288574,0.37790805101394653,0.47391653060913086,0.4345662295818329,0.4192224442958832,0.4041362702846527,0.38476014137268066,0.3508112132549286,0.46579447388648987,0.4669345021247864,0.4502744674682617,0.280842661857605
Ecoli,30.268600035924464,0.45651865005493164,0.4601146876811981,0.5413205623626709,0.5266713500022888,0.4988706111907959,0.47180768847465515,0.4459022581577301,0.3927544057369232,0.5403607487678528,0.5168789029121399,0.5001658797264099,0.4236566722393036
Glass,39.12480000872165,0.5587700009346008,0.5462979078292847,0.7045371532440186,0.6508641242980957,0.6937115788459778,0.6582509875297546,0.6104476451873779,0.633853018283844,0.6832133531570435,0.6874591708183289,0.6232271194458008,0.4334332048892975
Haberman,33.53810001863167,0.4616505801677704,0.44894900918006897,0.5460951328277588,0.5083795189857483,0.541409432888031,0.5706917643547058,0.5691511631011963,0.5774781107902527,0.5409212112426758,0.5404435992240906,0.5807833075523376,0.43563228845596313
Ionosphere,26.979800022672862,0.5033716559410095,0.4957650303840637,0.7145005464553833,0.5638062953948975,0.7169699668884277,0.8088427782058716,0.7344385981559753,0.8141754269599915,0.6512458920478821,0.6685317754745483,0.700716495513916,0.43198785185813904
Iris,28.165599971543998,0.666734516620636,0.6382356286048889,0.7465435862541199,0.6902334094047546,0.6728276610374451,0.7638172507286072,0.707030177116394,0.7332983016967773,0.7243770956993103,0.7900568842887878,0.7421668171882629,0.53443843126297
Movement_libras,44.926100003067404,0.2072899341583252,0.23858609795570374,0.3250596225261688,0.2910798192024231,0.28588351607322693,0.29192855954170227,0.32019051909446716,0.18836148083209991,0.2456069439649582,0.3100733458995819,0.26780998706817627,0.20140019059181213
Musk,147.3946000332944,0.8648138046264648,0.8316928744316101,0.9184276461601257,0.868564248085022,0.9224247932434082,0.7615708112716675,0.8598008155822754,0.8895435333251953,0.8767971396446228,0.8710408210754395,0.8467202186584473,0.7256800532341003
Parkinsons,32.0244999602437,0.38506966829299927,0.3857736587524414,0.5023829936981201,0.4463188350200653,0.47912049293518066,0.49728089570999146,0.45848962664604187,0.46758198738098145,0.48215898871421814,0.48870396614074707,0.5066261291503906,0.33092817664146423
Segmentation,200.64969995291904,0.5686425566673279,0.5678728222846985,0.7212439179420471,0.6360036730766296,0.7108426094055176,0.7031569480895996,0.699664294719696,0.7467237710952759,0.6697929501533508,0.6704062819480896,0.6818656325340271,0.5512830018997192
SonarAll,31.797600036952645,0.5540443658828735,0.5358242988586426,0.6365033984184265,0.6214032769203186,0.6514100432395935,0.5725671648979187,0.6118118166923523,0.5805483460426331,0.6202459335327148,0.6149144172668457,0.6147298216819763,0.5044405460357666
Spectf,29.72829999634996,0.36320406198501587,0.35975977778434753,0.5281064510345459,0.4053977131843567,0.44782429933547974,0.541444718837738,0.4213721454143524,0.5366730690002441,0.4802374839782715,0.497776597738266,0.4678442180156708,0.2858249545097351
Transfusion,27.30600000359118,0.3873778283596039,0.3993665874004364,0.4930531680583954,0.43927404284477234,0.4543980062007904,0.4272308051586151,0.44434666633605957,0.41889721155166626,0.4759942591190338,0.4694938659667969,0.48395490646362305,0.3386060297489166
Vehicle,37.97629999462515,0.4627838730812073,0.43534326553344727,0.5436864495277405,0.5258451104164124,0.5138643383979797,0.503575325012207,0.5108522772789001,0.4576577842235565,0.5234792232513428,0.5385389924049377,0.5410738587379456,0.41175371408462524
VertebralColumn,35.95140000106767,0.2998792231082916,0.29285258054733276,0.37940070033073425,0.34725719690322876,0.3310680091381073,0.3507086932659149,0.2946661114692688,0.25408026576042175,0.37953877449035645,0.39882588386535645,0.3710857033729553,0.21822957694530487
Vowel_context,32.24869997939095,0.3119330406188965,0.2768552303314209,0.5541064143180847,0.3608607351779938,0.20842158794403076,0.22503338754177094,0.2421177178621292,0.07185140997171402,0.36333879828453064,0.38456445932388306,0.359959214925766,0.1658569872379303
Wine,31.932100013364106,0.8411001563072205,0.8203617930412292,0.9207034111022949,0.8835005164146423,0.8801429867744446,0.8692359328269958,0.826525866985321,0.7888901233673096,0.8727569580078125,0.8977447748184204,0.8699707388877869,0.5245375037193298
WineQualityRed,80.97010001074523,0.4202478528022766,0.42543306946754456,0.49767741560935974,0.48054271936416626,0.43210744857788086,0.3836069107055664,0.394701212644577,0.311261385679245,0.5015568137168884,0.4884583652019501,0.46478271484375,0.33393293619155884
Yeast,70.56959997862577,0.36366090178489685,0.3802291750907898,0.4527512192726135,0.4199441075325012,0.37067553400993347,0.3540014624595642,0.30937665700912476,0.2264692634344101,0.44153568148612976,0.4257172644138336,0.38914012908935547,0.2691577970981598
