dataset,inference_time_ms,k-means,k-medians,spectral_clustering,ward,agglomerative,dbscan,hdbscan,optics,birch,gaussian,mean_shift,affinity_propagation
BreastTissue,70.16740000108257,0.5768601298332214,0.5682234168052673,0.610322892665863,0.5661461353302002,0.5430354475975037,0.5644269585609436,0.5114404559135437,0.5154291987419128,0.6420261263847351,0.5687618851661682,0.6162926554679871,0.46834564208984375
BreastWisconsin,56.320899981074035,0.4570910930633545,0.4500316083431244,0.4704456031322479,0.44204315543174744,0.41238799691200256,0.45223379135131836,0.38795205950737,0.3728226125240326,0.5374795794487,0.46748659014701843,0.4814479351043701,0.3629799783229828
Ecoli,36.18709999136627,0.4175751209259033,0.4335646629333496,0.5296870470046997,0.45954594016075134,0.5345999598503113,0.5034657716751099,0.43365365266799927,0.435758113861084,0.5361201167106628,0.5218465924263,0.4804894030094147,0.3569878935813904
Glass,32.56409999448806,0.6363213062286377,0.6851346492767334,0.7539804577827454,0.6948181986808777,0.7795154452323914,0.7718300223350525,0.687663733959198,0.7890458703041077,0.7328839302062988,0.7080218195915222,0.7414410710334778,0.4436206519603729
Haberman,36.42110002692789,0.6036383509635925,0.6190220713615417,0.7172393202781677,0.6440280675888062,0.7224834561347961,0.7108585238456726,0.6417409777641296,0.6613336205482483,0.7138169407844543,0.6629215478897095,0.7013930678367615,0.4932540953159332
Ionosphere,37.73360000923276,0.6621484160423279,0.6719390749931335,0.7518815994262695,0.6117212176322937,0.6508756875991821,0.7112317681312561,0.560452401638031,0.8925895690917969,0.7794038653373718,0.7517609000205994,0.6730547547340393,0.35924041271209717
Iris,29.497599985916167,0.6529746055603027,0.6631090044975281,0.7785636186599731,0.7100279331207275,0.7085000872612,0.8064708113670349,0.7289363741874695,0.7624776363372803,0.7675098180770874,0.7881675958633423,0.7930888533592224,0.4870380461215973
Movement_libras,51.83509999187663,0.5663450956344604,0.5824187397956848,0.6605281233787537,0.6145110130310059,0.5256606936454773,0.7857779264450073,0.5770760178565979,0.503876268863678,0.6143901944160461,0.6718369722366333,0.6101658940315247,0.46130701899528503
Musk,133.11420002719387,0.8183437585830688,0.8217634558677673,0.8834394812583923,0.8741316795349121,0.9172977805137634,0.8336362242698669,0.8727709650993347,0.9051936268806458,0.8829860687255859,0.8601529002189636,0.8798621296882629,0.4899982511997223
Parkinsons,30.0703999819234,0.5078195929527283,0.5478917956352234,0.5935024619102478,0.5456816554069519,0.6104527711868286,0.5742060542106628,0.5188302993774414,0.5031525492668152,0.6273501515388489,0.5628713965415955,0.5886504054069519,0.4410199820995331
Segmentation,198.51120002567768,0.625271737575531,0.6502900719642639,0.652432382106781,0.5849347114562988,0.6276650428771973,0.6700823903083801,0.49631786346435547,0.7850075364112854,0.6925622224807739,0.6486136317253113,0.6613535284996033,0.3865818679332733
SonarAll,48.79790003178641,0.6750579476356506,0.7218693494796753,0.7287918329238892,0.7214289307594299,0.795721709728241,0.6665644645690918,0.6791518330574036,0.6826238036155701,0.7459136843681335,0.7081061005592346,0.7006458640098572,0.5002376437187195
Spectf,45.19340000115335,0.4064241945743561,0.4161490499973297,0.5236000418663025,0.4486604332923889,0.42628389596939087,0.43509647250175476,0.40434813499450684,0.4521280825138092,0.5094088912010193,0.47903338074684143,0.4311647415161133,0.3169634938240051
Transfusion,35.354599996935576,0.533814013004303,0.5284568071365356,0.5603458285331726,0.5132845044136047,0.4863746762275696,0.523669958114624,0.4745047986507416,0.4417996108531952,0.6111792922019958,0.5089733004570007,0.5707930326461792,0.44083935022354126
Vehicle,38.52409997489303,0.5992342829704285,0.6271975636482239,0.6999637484550476,0.6486756205558777,0.701823890209198,0.6454182863235474,0.598720908164978,0.5764922499656677,0.7084928154945374,0.6675317883491516,0.6536560654640198,0.4501216411590576
VertebralColumn,29.636199993547052,0.35718223452568054,0.35953718423843384,0.44075295329093933,0.3995189666748047,0.3661347031593323,0.40927672386169434,0.3399592936038971,0.28591811656951904,0.4685322940349579,0.4563392698764801,0.40351414680480957,0.2817263603210449
Vowel_context,33.01710000960156,0.21064050495624542,0.21696928143501282,0.5375726819038391,0.3030194938182831,0.2588557302951813,0.34887978434562683,0.29569384455680847,0.12589490413665771,0.3112240731716156,0.43145641684532166,0.3499124348163605,0.1540200263261795
Wine,65.38220000220463,0.7772302031517029,0.7839403748512268,0.8953099250793457,0.859501838684082,0.8995141983032227,0.8976985812187195,0.8718762397766113,0.866370677947998,0.8560771346092224,0.8688028454780579,0.8686508536338806,0.3641597628593445
WineQualityRed,88.0913000437431,0.46058017015457153,0.46038681268692017,0.46457362174987793,0.4437365233898163,0.382369726896286,0.3969990909099579,0.3380125164985657,0.3284912109375,0.5423712730407715,0.47776657342910767,0.4554108679294586,0.35596731305122375
Yeast,74.37860005302355,0.33924993872642517,0.35233545303344727,0.3654373288154602,0.3588152825832367,0.31146439909935,0.34144327044487,0.2579667568206787,0.2301475554704666,0.42683544754981995,0.39265909790992737,0.3526338040828705,0.279593825340271
