dataset,inference_time_ms,k-means,k-medians,spectral_clustering,ward,agglomerative,dbscan,hdbscan,optics,birch,gaussian,mean_shift,affinity_propagation
BreastTissue,36.409499996807426,0.4633253216743469,0.422413170337677,0.5646526217460632,0.4787326455116272,0.5464709401130676,0.566950261592865,0.5071610808372498,0.5536307692527771,0.5606681108474731,0.5209532380104065,0.5590699911117554,0.36464592814445496
BreastWisconsin,30.014000018127263,0.4083358347415924,0.3729601204395294,0.4787152409553528,0.4262245297431946,0.43000349402427673,0.42701706290245056,0.39117297530174255,0.37606579065322876,0.47126275300979614,0.4374100863933563,0.46374645829200745,0.32016506791114807
Ecoli,24.727999989409,0.39112725853919983,0.369703471660614,0.4788559079170227,0.3986566662788391,0.45825082063674927,0.4518112242221832,0.4106026589870453,0.4050857722759247,0.4593411386013031,0.4655520021915436,0.47210249304771423,0.32147929072380066
Glass,25.32080002129078,0.5171356797218323,0.4943864047527313,0.6400076746940613,0.5612550377845764,0.6158143281936646,0.5935083627700806,0.5419535040855408,0.6057246327400208,0.5985824465751648,0.6033880114555359,0.5730273127555847,0.4442248046398163
Haberman,26.396000001113862,0.4918489158153534,0.4658888280391693,0.605216920375824,0.49909693002700806,0.5887494087219238,0.5798769593238831,0.5260471105575562,0.5818414688110352,0.5830299258232117,0.5579130053520203,0.590133547782898,0.42224550247192383
Ionosphere,23.75150000443682,0.5160068869590759,0.5262725949287415,0.6774045825004578,0.5523959994316101,0.6450421214103699,0.7170868515968323,0.6899465918540955,0.7882292866706848,0.6391939520835876,0.6407940983772278,0.6653499007225037,0.45838767290115356
Iris,25.96830000402406,0.5982014536857605,0.5565502643585205,0.6768692135810852,0.6286769509315491,0.6122989058494568,0.704154372215271,0.6438901424407959,0.6484432220458984,0.6936535835266113,0.6932762265205383,0.7019888758659363,0.44363316893577576
Movement_libras,24.43329995730892,0.3441023826599121,0.31174227595329285,0.4020632207393646,0.3031187653541565,0.33511289954185486,0.3979659974575043,0.33251479268074036,0.1961974948644638,0.4009043872356415,0.37888970971107483,0.3730238378047943,0.2569116950035095
Musk,43.77869999734685,0.7027807831764221,0.6808640360832214,0.7779463529586792,0.7262101173400879,0.7564550042152405,0.7252295017242432,0.7125079035758972,0.7608291506767273,0.7631725668907166,0.7643641829490662,0.7417542934417725,0.5630320906639099
Parkinsons,26.663299999199808,0.38153916597366333,0.35151955485343933,0.4715937674045563,0.39474669098854065,0.4717964231967926,0.4662347733974457,0.41159787774086,0.4503900706768036,0.45543399453163147,0.44102439284324646,0.48087596893310547,0.3225913941860199
Segmentation,134.48970002355054,0.5764486193656921,0.5267369151115417,0.7049740552902222,0.5895885825157166,0.6870250701904297,0.6788603663444519,0.632201611995697,0.7156452536582947,0.6771008372306824,0.6581129431724548,0.6625873446464539,0.4584449231624603
SonarAll,39.42079999251291,0.5200145244598389,0.4823623597621918,0.6144630908966064,0.536455512046814,0.616975724697113,0.5637392401695251,0.5156864523887634,0.575377881526947,0.5840126872062683,0.5810312628746033,0.5933289527893066,0.45713743567466736
Spectf,30.752699996810406,0.34076130390167236,0.34374287724494934,0.403963565826416,0.3803047239780426,0.39447203278541565,0.4626549184322357,0.3858048617839813,0.45999500155448914,0.4211236536502838,0.4399695098400116,0.43911680579185486,0.26869603991508484
Transfusion,27.36360003473237,0.4286341369152069,0.38954028487205505,0.5034944415092468,0.4453839361667633,0.4713808000087738,0.46154019236564636,0.43010541796684265,0.42123904824256897,0.5077633261680603,0.44110727310180664,0.5067844390869141,0.33849987387657166
Vehicle,23.14249996561557,0.48841342329978943,0.460129976272583,0.5937966704368591,0.5028061866760254,0.5462701916694641,0.5405657887458801,0.4880090355873108,0.5037126541137695,0.5737742185592651,0.5677782893180847,0.5603651404380798,0.38718828558921814
VertebralColumn,25.267899967730045,0.3512750267982483,0.3223411738872528,0.42175793647766113,0.3689819872379303,0.35937759280204773,0.37093880772590637,0.3437381088733673,0.3002207279205322,0.41693001985549927,0.42009687423706055,0.411834716796875,0.2630138099193573
Vowel_context,24.881199991796166,0.7476097345352173,0.7353242039680481,0.8496649861335754,0.739904522895813,0.5549846291542053,0.19930844008922577,0.593346893787384,0.31839117407798767,0.7444184422492981,0.6863731741905212,0.5609780550003052,0.48678484559059143
Wine,24.69099999871105,0.5707605481147766,0.552284836769104,0.6830835342407227,0.5986804962158203,0.5964179039001465,0.6420650482177734,0.564734160900116,0.5444838404655457,0.6591278314590454,0.6796209216117859,0.6501035690307617,0.4071570932865143
WineQualityRed,62.54559999797493,0.4428883492946625,0.4158767759799957,0.5008902549743652,0.46297454833984375,0.43266502022743225,0.37328192591667175,0.3611932694911957,0.3212774693965912,0.4842216670513153,0.44864463806152344,0.4503965377807617,0.360973060131073
Yeast,63.776299997698516,0.38344138860702515,0.36845239996910095,0.4424491822719574,0.40492963790893555,0.39878198504447937,0.3941667973995209,0.33587273955345154,0.3134312331676483,0.4255267083644867,0.42513495683670044,0.4231320023536682,0.31757980585098267
