dataset,inference_time_ms,k-means,k-medians,spectral_clustering,ward,agglomerative,dbscan,hdbscan,optics,birch,gaussian,mean_shift,affinity_propagation
BreastTissue,34.23579997615889,0.4768825173377991,0.5219670534133911,0.6769919395446777,0.5357683300971985,0.6447951197624207,0.6239832639694214,0.5796604752540588,0.6239454746246338,0.6042876839637756,0.615365207195282,0.6364539265632629,0.4479424059391022
BreastWisconsin,59.931600000709295,0.37773022055625916,0.42235618829727173,0.5244566798210144,0.4194203019142151,0.4634401798248291,0.47251033782958984,0.4041186273097992,0.4115583002567291,0.49667808413505554,0.5088430643081665,0.507885754108429,0.34062451124191284
Ecoli,27.287299977615476,0.5553730130195618,0.5392651557922363,0.6187372803688049,0.561521589756012,0.553915798664093,0.5478924512863159,0.46279382705688477,0.43683910369873047,0.6249040961265564,0.6159127354621887,0.5765368342399597,0.42251840233802795
Glass,34.90259998943657,0.6072149276733398,0.6292701363563538,0.7371565103530884,0.6446850895881653,0.777926504611969,0.7243080139160156,0.6710834503173828,0.7053558230400085,0.6776577830314636,0.6948289275169373,0.7547394037246704,0.5403379797935486
Haberman,25.365900015458465,0.47893229126930237,0.5035389065742493,0.607058048248291,0.5066658854484558,0.6026535034179688,0.6047196984291077,0.5862719416618347,0.5478524565696716,0.5579936504364014,0.592280387878418,0.6208758354187012,0.4530433714389801
Ionosphere,31.966199981980026,0.5879527926445007,0.5415205955505371,0.7328031659126282,0.6094279289245605,0.7472419738769531,0.8097902536392212,0.7859926223754883,0.8384655117988586,0.6804711222648621,0.7418537139892578,0.7293181419372559,0.5524927377700806
Iris,23.781900003086776,0.6895995140075684,0.6723749041557312,0.7887172102928162,0.7167693972587585,0.6957944631576538,0.7816495895385742,0.728934645652771,0.7266894578933716,0.7387353777885437,0.806032657623291,0.7506323456764221,0.5806937217712402
Movement_libras,38.03830000106245,0.20809145271778107,0.1748858541250229,0.36129292845726013,0.23577289283275604,0.24055328965187073,0.37404927611351013,0.2827111780643463,0.14328798651695251,0.27113375067710876,0.28916120529174805,0.2783409059047699,0.14690850675106049
Musk,134.5934999990277,0.8644084930419922,0.8762075304985046,0.9377317428588867,0.8709821701049805,0.9259242415428162,0.8390694856643677,0.8873788714408875,0.8623058199882507,0.8995378613471985,0.8431037068367004,0.891044557094574,0.5556398630142212
Parkinsons,24.21379997394979,0.460773229598999,0.48500069975852966,0.5546759963035583,0.4900997579097748,0.5601268410682678,0.5219468474388123,0.47927340865135193,0.46904879808425903,0.5345141291618347,0.5468422770500183,0.5808999538421631,0.41438451409339905
Segmentation,202.31670001521707,0.5802217721939087,0.5780946612358093,0.7006070017814636,0.5777589678764343,0.6992225050926208,0.6743413805961609,0.6478258967399597,0.6819609999656677,0.6508219838142395,0.6654303669929504,0.6874289512634277,0.5422714352607727
SonarAll,27.28809998370707,0.7354040741920471,0.7414514422416687,0.7557753920555115,0.7299642562866211,0.8051212430000305,0.6885344982147217,0.7167590260505676,0.7177295088768005,0.7425007820129395,0.7163743376731873,0.7426977157592773,0.6233450770378113
Spectf,23.186800011899322,0.31486478447914124,0.3407464921474457,0.435656875371933,0.376068651676178,0.403682678937912,0.40933337807655334,0.3904288709163666,0.42539629340171814,0.4136577546596527,0.4457826316356659,0.4407692849636078,0.2676965892314911
Transfusion,26.776299986522645,0.39458462595939636,0.4269678294658661,0.5311643481254578,0.419379323720932,0.4926187992095947,0.4846796989440918,0.44903016090393066,0.44619637727737427,0.507011353969574,0.5174546241760254,0.5452307462692261,0.3814487159252167
Vehicle,37.65340003883466,0.5803287625312805,0.603455662727356,0.684938371181488,0.6218588352203369,0.6347543001174927,0.6066212058067322,0.6069145202636719,0.5265648365020752,0.662944495677948,0.6580384373664856,0.6682597398757935,0.4915867745876312
VertebralColumn,34.99450004892424,0.31677594780921936,0.30974745750427246,0.4160628020763397,0.33152487874031067,0.34380099177360535,0.33558520674705505,0.2984670400619507,0.24666202068328857,0.4174317419528961,0.4335966110229492,0.384426474571228,0.24025173485279083
Vowel_context,33.441900042817,0.23284831643104553,0.1994139850139618,0.5777612328529358,0.3217106759548187,0.15642693638801575,0.2160625457763672,0.19368009269237518,0.073934406042099,0.2902969717979431,0.3268801271915436,0.3150061070919037,0.1411641389131546
Wine,33.395899983588606,0.8592447638511658,0.8691620826721191,0.9147511720657349,0.8951819539070129,0.915869414806366,0.918942928314209,0.8727743029594421,0.8589691519737244,0.8894254565238953,0.8860594630241394,0.9111406207084656,0.5551578402519226
WineQualityRed,84.79839999927208,0.4386996924877167,0.4710695445537567,0.551374614238739,0.4854428768157959,0.49223461747169495,0.47440963983535767,0.3960447311401367,0.3409293591976166,0.5343762636184692,0.5214974284172058,0.512471079826355,0.3573143482208252
Yeast,74.92050004657358,0.38147497177124023,0.38010910153388977,0.4530901610851288,0.427288293838501,0.4052653908729553,0.3953859508037567,0.3145667016506195,0.2660890519618988,0.4636780321598053,0.4564027786254883,0.44505810737609863,0.29054129123687744
