dataset,pred_algo,pred_ari,max_true_ari,regret
BreastTissue,birch,0.3298469286233706,0.4152142505532855,0.08536732192991486
BreastWisconsin,birch,0.6954257540995016,0.7859103688343316,0.09048461473483005
Ecoli,birch,0.7954284710130451,0.7954284710130451,0.0
Glass,optics,0.2207362721643003,0.2919489577209197,0.07121268555661942
Haberman,agglomerative,0.1553430648833222,0.1834163453569174,0.028073280473595197
Ionosphere,optics,0.7215603771671905,0.7319011108580683,0.010340733690877846
Iris,dbscan,0.5681159420289855,0.9038742317748124,0.3357582897458269
Movement_libras,dbscan,0.1196928056112685,0.398528790503782,0.2788359848925135
Musk,agglomerative,0.0723869254060194,0.0985567375629069,0.02616981215688749
Parkinsons,birch,0.1429961454166416,0.4372577852472124,0.29426163983057085
Segmentation,optics,0.2524502815082172,0.523735702701219,0.27128542119300186
SonarAll,agglomerative,0.0287104219176447,0.0444195804905575,0.015709158572912798
Spectf,spectral_clustering,-0.005504203528682,0.2555076859524542,0.2610118894811362
Transfusion,birch,0.1252025996403785,0.1252025996403785,0.0
Vehicle,birch,0.1071539147941183,0.1189598520466363,0.011805937252517995
VertebralColumn,birch,0.2918561134052034,0.4511705595378765,0.1593144461326731
Vowel_context,spectral_clustering,0.1779615014114859,0.192812814522729,0.014851313111243103
Wine,agglomerative,0.5131737835258008,0.9471317617859916,0.4339579782601908
WineQualityRed,birch,0.0914963107978991,0.0914963107978991,0.0
Yeast,birch,0.1961188381243237,0.2394943091652681,0.043375471040944386
