dataset,pred_algo,pred_ari,max_true_ari,regret
BreastTissue,dbscan,0.2684220681201693,0.4152142505532855,0.1467921824331162
BreastWisconsin,spectral_clustering,0.7859103688343316,0.7859103688343316,0.0
Ecoli,spectral_clustering,0.7201949538920116,0.7954284710130451,0.07523351712103354
Glass,spectral_clustering,0.2254142912758842,0.2919489577209197,0.06653466644503553
Haberman,spectral_clustering,0.079278276581592,0.1834163453569174,0.10413806877532539
Ionosphere,optics,0.7215603771671905,0.7319011108580683,0.010340733690877846
Iris,dbscan,0.5681159420289855,0.9038742317748124,0.3357582897458269
Movement_libras,spectral_clustering,0.398528790503782,0.398528790503782,0.0
Musk,spectral_clustering,0.001258314510423,0.0985567375629069,0.09729842305248389
Parkinsons,mean_shift,0.0693430241004022,0.4372577852472124,0.3679147611468102
Segmentation,optics,0.2524502815082172,0.523735702701219,0.27128542119300186
SonarAll,agglomerative,0.0287104219176447,0.0444195804905575,0.015709158572912798
Spectf,dbscan,0.2555076859524542,0.2555076859524542,0.0
Transfusion,birch,0.1252025996403785,0.1252025996403785,0.0
Vehicle,spectral_clustering,0.1189598520466363,0.1189598520466363,0.0
VertebralColumn,spectral_clustering,0.2743608417468108,0.4511705595378765,0.1768097177910657
Vowel_context,spectral_clustering,0.1779615014114859,0.192812814522729,0.014851313111243103
Wine,spectral_clustering,0.9471317617859916,0.9471317617859916,0.0
WineQualityRed,spectral_clustering,0.0731753286625109,0.0914963107978991,0.0183209821353882
Yeast,spectral_clustering,0.2394943091652681,0.2394943091652681,0.0
