dataset,pred_algo,pred_ari,max_true_ari,regret
BreastTissue,spectral_clustering,0.4152142505532855,0.4152142505532855,0.0
BreastWisconsin,spectral_clustering,0.7859103688343316,0.7859103688343316,0.0
Ecoli,birch,0.7954284710130451,0.7954284710130451,0.0
Glass,agglomerative,0.2877437423362856,0.2919489577209197,0.004205215384634142
Haberman,mean_shift,0.1834163453569174,0.1834163453569174,0.0
Ionosphere,optics,0.7215603771671905,0.7319011108580683,0.010340733690877846
Iris,gaussian,0.9038742317748124,0.9038742317748124,0.0
Movement_libras,dbscan,0.1196928056112685,0.398528790503782,0.2788359848925135
Musk,spectral_clustering,0.001258314510423,0.0985567375629069,0.09729842305248389
Parkinsons,mean_shift,0.0693430241004022,0.4372577852472124,0.3679147611468102
Segmentation,spectral_clustering,0.3588654273100095,0.523735702701219,0.16487027539120958
SonarAll,agglomerative,0.0287104219176447,0.0444195804905575,0.015709158572912798
Spectf,gaussian,-0.0988468863555014,0.2555076859524542,0.35435457230795564
Transfusion,mean_shift,0.0566506158177332,0.1252025996403785,0.0685519838226453
Vehicle,spectral_clustering,0.1189598520466363,0.1189598520466363,0.0
VertebralColumn,gaussian,0.4120765288685588,0.4511705595378765,0.039094030669317714
Vowel_context,spectral_clustering,0.1779615014114859,0.192812814522729,0.014851313111243103
Wine,dbscan,0.4361857850990205,0.9471317617859916,0.5109459766869711
WineQualityRed,spectral_clustering,0.0731753286625109,0.0914963107978991,0.0183209821353882
Yeast,birch,0.1961188381243237,0.2394943091652681,0.043375471040944386
