dataset,AML4C_COP_algorithm,AML4C_COP_ari,AML4C_COP_config,AML4C_DBCV_algorithm,AML4C_DBCV_ari,AML4C_DBCV_config,AutoClust_algorithm,AutoClust_ari,AutoClust_config,AutoCluster_CH_algorithm,AutoCluster_CH_ari,AutoCluster_CH_config,AutoCluster_DBI_algorithm,AutoCluster_DBI_ari,AutoCluster_DBI_config,AutoCluster_SIL_algorithm,AutoCluster_SIL_ari,AutoCluster_SIL_config,ML2DAC_statistical+general_algorithm,ML2DAC_statistical+general_ari,ML2DAC_statistical+general_config,ML2DAC_statistical+info-theory+general_algorithm,ML2DAC_statistical+info-theory+general_ari,ML2DAC_statistical+info-theory+general_config
BreastTissue,k-means,0.0066055651886714,"{'algorithm': 'MBKMeans', 'n_clusters': 100}",k-means,0.1966443967471809,"{'algorithm': 'KMeans', 'n_clusters': 2}",dbscan,0.0373291943770445,"{'algorithm': 'dbscan', 'eps': 0.55, 'min_samples': 11}",dbscan,0.2104414566871427,"{'algorithm': 'dbscan', 'eps': 0.95, 'min_samples': 5}",dbscan,0.2397603991413819,"{'algorithm': 'dbscan', 'eps': 0.95, 'min_samples': 7}",dbscan,0.2104414566871427,"{'algorithm': 'dbscan', 'eps': 1.0, 'min_samples': 7}",k-means,0.0066055651886714,"{'algorithm': 'MBKMeans', 'n_clusters': 100}",k-means,0.1966443967471809,"{'algorithm': 'KMeans', 'n_clusters': 2}"
BreastWisconsin,birch,0.0219376088433272,"{'algorithm': 'birch', 'n_clusters': 100}",gaussian,0.3372843909721125,"{'algorithm': 'GMM', 'n_clusters': 7}",dbscan,0.0,"{'algorithm': 'dbscan', 'eps': 0.15000000000000002, 'min_samples': 56}",dbscan,0.0,"{'algorithm': 'dbscan', 'eps': 0.19, 'min_samples': 152}",dbscan,0.0,"{'algorithm': 'dbscan', 'eps': 0.19, 'min_samples': 152}",dbscan,0.0,"{'algorithm': 'dbscan', 'eps': 0.19, 'min_samples': 152}",k-means,0.676504895633523,"{'algorithm': 'KMeans', 'n_clusters': 2}",k-means,0.7058197409589875,"{'algorithm': 'MBKMeans', 'n_clusters': 2}"
Ecoli,ward,0.0427050711404627,"{'algorithm': 'ward', 'n_clusters': 100}",gaussian,0.0382235494214525,"{'algorithm': 'GMM', 'n_clusters': 3}",mean_shift,0.0043733822354691,"{'algorithm': 'means_shift', 'quantile': 0.98}",dbscan,0.5010894136524796,"{'algorithm': 'dbscan', 'eps': 0.95, 'min_samples': 7}",dbscan,-0.0073934637928555,"{'algorithm': 'dbscan', 'eps': 0.26, 'min_samples': 3}",dbscan,0.5010894136524796,"{'algorithm': 'dbscan', 'eps': 0.95, 'min_samples': 7}",gaussian,0.0382235494214525,"{'algorithm': 'GMM', 'n_clusters': 3}",gaussian,0.0382235494214525,"{'algorithm': 'GMM', 'n_clusters': 3}"
Glass,ward,0.0629229306339856,"{'algorithm': 'ward', 'n_clusters': 92}",gaussian,0.1621351920847553,"{'algorithm': 'GMM', 'n_clusters': 5}",mean_shift,0.0105786252683926,"{'algorithm': 'means_shift', 'quantile': 0.98}",dbscan,0.048079212683189,"{'algorithm': 'dbscan', 'eps': 0.99, 'min_samples': 15}",dbscan,-0.0109018563109725,"{'algorithm': 'dbscan', 'eps': 0.13, 'min_samples': 2}",dbscan,0.0904356501202373,"{'algorithm': 'dbscan', 'eps': 1.0, 'min_samples': 12}",ward,0.1757276496546193,"{'algorithm': 'ward', 'n_clusters': 2}",gaussian,0.1621351920847553,"{'algorithm': 'GMM', 'n_clusters': 5}"
Haberman,ward,0.0027263798336531,"{'algorithm': 'ward', 'n_clusters': 99}",dbscan,0.1163211594143006,"{'algorithm': 'dbscan', 'eps': 0.8893681869594472, 'min_samples': 6}",mean_shift,0.1736503745459303,"{'algorithm': 'means_shift', 'quantile': 0.1}",dbscan,0.1182385841070219,"{'algorithm': 'dbscan', 'eps': 0.7, 'min_samples': 5}",dbscan,0.0126879498374861,"{'algorithm': 'dbscan', 'eps': 0.29000000000000004, 'min_samples': 8}",dbscan,0.0620750146477324,"{'algorithm': 'dbscan', 'eps': 0.95, 'min_samples': 7}",ward,0.0027263798336531,"{'algorithm': 'ward', 'n_clusters': 99}",dbscan,0.032283572022432,"{'algorithm': 'dbscan', 'eps': 0.9536790514390626, 'min_samples': 3}"
Ionosphere,birch,0.0730019381252914,"{'algorithm': 'birch', 'n_clusters': 100}",ward,0.1228734040916782,"{'algorithm': 'ward', 'n_clusters': 17}",mean_shift,0.0044727568446733,"{'algorithm': 'means_shift', 'quantile': 0.85}",dbscan,-0.0437956204379562,"{'algorithm': 'dbscan', 'eps': 0.97, 'min_samples': 8}",dbscan,-0.0498797920896444,"{'algorithm': 'dbscan', 'eps': 0.95, 'min_samples': 7}",dbscan,-0.0437956204379562,"{'algorithm': 'dbscan', 'eps': 0.96, 'min_samples': 11}",ward,0.1228734040916782,"{'algorithm': 'ward', 'n_clusters': 17}",ward,0.1228734040916782,"{'algorithm': 'ward', 'n_clusters': 17}"
Iris,ward,0.0246804695822286,"{'algorithm': 'ward', 'n_clusters': 100}",dbscan,0.5359658179925626,"{'algorithm': 'dbscan', 'eps': 0.97, 'min_samples': 13}",dbscan,0.0414109295274717,"{'algorithm': 'dbscan', 'eps': 0.49, 'min_samples': 15}",dbscan,0.5583714437541352,"{'algorithm': 'dbscan', 'eps': 0.98, 'min_samples': 3}",dbscan,0.1616371629497795,"{'algorithm': 'dbscan', 'eps': 0.47, 'min_samples': 12}",dbscan,0.5437620604567994,"{'algorithm': 'dbscan', 'eps': 0.95, 'min_samples': 7}",dbscan,0.5359658179925626,"{'algorithm': 'dbscan', 'eps': 0.97, 'min_samples': 13}",dbscan,0.5359658179925626,"{'algorithm': 'dbscan', 'eps': 0.97, 'min_samples': 13}"
Movement_libras,ward,0.1907489062508335,"{'algorithm': 'ward', 'n_clusters': 100}",ward,0.3028770268869929,"{'algorithm': 'ward', 'n_clusters': 45}",mean_shift,0.0004060621310183,"{'algorithm': 'means_shift', 'quantile': 0.12}",dbscan,0.0,"{'algorithm': 'dbscan', 'eps': 0.19, 'min_samples': 152}",dbscan,0.0,"{'algorithm': 'dbscan', 'eps': 0.19, 'min_samples': 152}",dbscan,0.0,"{'algorithm': 'dbscan', 'eps': 0.19, 'min_samples': 152}",ward,0.3028770268869929,"{'algorithm': 'ward', 'n_clusters': 45}",ward,0.3028770268869929,"{'algorithm': 'ward', 'n_clusters': 45}"
Musk,birch,0.0145729639678362,"{'algorithm': 'birch', 'n_clusters': 100}",k-means,0.0261439070738798,"{'algorithm': 'KMeans', 'n_clusters': 34}",dbscan,0.0,"{'algorithm': 'dbscan', 'eps': 0.15000000000000002, 'min_samples': 56}",dbscan,0.0,"{'algorithm': 'dbscan', 'eps': 0.19, 'min_samples': 152}",dbscan,0.0,"{'algorithm': 'dbscan', 'eps': 0.19, 'min_samples': 152}",dbscan,0.0,"{'algorithm': 'dbscan', 'eps': 0.19, 'min_samples': 152}",k-means,0.0042120815094551,"{'algorithm': 'MBKMeans', 'n_clusters': 2}",k-means,0.0042120815094551,"{'algorithm': 'MBKMeans', 'n_clusters': 2}"
Parkinsons,birch,0.009145239846869,"{'algorithm': 'birch', 'n_clusters': 100}",k-means,0.0410500899005117,"{'algorithm': 'MBKMeans', 'n_clusters': 15}",mean_shift,-0.0625856324946651,"{'algorithm': 'means_shift', 'quantile': 0.5}",dbscan,0.0,"{'algorithm': 'dbscan', 'eps': 0.19, 'min_samples': 152}",dbscan,0.0,"{'algorithm': 'dbscan', 'eps': 0.19, 'min_samples': 152}",dbscan,0.0,"{'algorithm': 'dbscan', 'eps': 0.19, 'min_samples': 152}",k-means,0.058243915081597,"{'algorithm': 'KMeans', 'n_clusters': 3}",k-means,0.058243915081597,"{'algorithm': 'KMeans', 'n_clusters': 3}"
