dataset,k-means,k-medians,spectral_clustering,ward,agglomerative,dbscan,hdbscan,optics,birch,gaussian,mean_shift,affinity_propagation
BreastTissue,81.12495422363281,54.740745544433594,37.205039978027344,78.09276580810547,35.71353530883789,,34.516510009765625,,77.67253875732422,68.61166381835938,45.88546371459961,78.87364196777344
BreastWisconsin,267.6963806152344,264.2838134765625,260.31341552734375,246.67945861816406,0.6421704292297363,52.57571792602539,44.560699462890625,,249.1261444091797,247.283447265625,19.387117385864258,61.582298278808594
Ecoli,163.2347412109375,85.97925567626953,87.23941040039062,149.9245147705078,65.26698303222656,225.19149780273438,215.7879638671875,230.23739624023438,149.40362548828125,121.18762969970703,103.83992004394531,109.0418701171875
Glass,62.915775299072266,60.678993225097656,41.01263427734375,55.897727966308594,26.84423065185547,118.20658111572266,115.9792251586914,,52.17989730834961,40.46034240722656,24.048847198486328,44.71663284301758
Haberman,103.75431823730469,102.18635559082031,80.94490814208984,96.76065826416016,71.86842346191406,,,,78.55174255371094,45.96799087524414,31.1983642578125,56.613525390625
Ionosphere,95.91250610351562,88.19860076904297,91.89290618896484,92.43964385986328,11.463316917419434,,82.31826782226562,,93.48992919921875,32.45159149169922,5.085005760192871,19.289621353149414
Iris,239.34181213378906,235.32049560546875,237.6707305908203,220.260498046875,141.81558227539062,248.90350341796875,263.7052917480469,,224.14964294433594,185.6788787841797,248.90350341796875,171.095703125
Movement_libras,52.85030746459961,49.75663375854492,43.78807067871094,50.44701385498047,11.065705299377441,20.861438751220703,40.757659912109375,,47.980770111083984,48.162139892578125,26.98946762084961,41.82685089111328
Musk,179.37269592285156,178.41351318359375,2.918642044067383,157.8721466064453,15.025899887084961,,122.15320587158203,,157.8721466064453,64.67559814453125,14.566720962524414,31.621456146240234
Parkinsons,102.71857452392578,86.01456451416016,28.264169692993164,85.69195556640625,9.748128890991211,,42.081138610839844,,84.72853088378906,78.7962417602539,30.428255081176758,41.37312316894531
Segmentation,850.953369140625,500.2302551269531,541.1713256835938,781.7318725585938,186.18467712402344,445.9501037597656,591.1740112304688,1003.6651000976562,822.5534057617188,565.9979248046875,173.9148712158203,453.6983947753906
SonarAll,35.40533447265625,30.64081573486328,29.057395935058594,26.029125213623047,8.882621765136719,13.182785034179688,11.30526351928711,12.876778602600098,33.06692886352539,30.99631690979004,7.668337821960449,14.294665336608887
Spectf,81.53243255615234,78.92716979980469,9.059743881225586,67.6310806274414,30.544353485107422,,4.047262191772461,,73.29215240478516,71.95298767089844,,12.07648754119873
Transfusion,439.7378234863281,356.9537353515625,147.50286865234375,388.6606750488281,208.2320098876953,,485.7331848144531,,380.71759033203125,333.1833801269531,95.52025604248047,415.8994140625
Vehicle,433.9752502441406,334.9009094238281,327.5037841796875,398.4081115722656,13.05904483795166,260.5059509277344,291.01727294921875,,401.3061828613281,406.7649841308594,83.82837677001953,127.3499755859375
VertebralColumn,153.59591674804688,143.0133056640625,136.60098266601562,141.0788116455078,77.78743743896484,,72.15596008300781,,137.6193084716797,105.94204711914062,39.35661697387695,67.46755981445312
Vowel_context,137.2750701904297,130.0958709716797,109.4803466796875,111.33595275878906,18.30219268798828,51.883079528808594,28.290878295898438,,114.74828338623047,123.64856719970703,71.18049621582031,74.47703552246094
Wine,70.94001007080078,69.67813110351562,70.59915924072266,67.74561309814453,29.388639450073242,74.05927276611328,66.91190338134766,128.2047576904297,67.6474609375,70.94001007080078,20.56641387939453,24.306550979614258
WineQualityRed,279.97698974609375,206.9212188720703,260.4812316894531,217.48362731933594,22.166357040405273,24.084957122802734,58.540714263916016,,226.8016357421875,197.57192993164062,32.82475280761719,70.70060729980469
Yeast,317.0992126464844,186.04750061035156,167.93466186523438,276.5127868652344,65.657958984375,43.382591247558594,242.59658813476562,,273.0684509277344,268.10699462890625,42.119815826416016,106.3992919921875
