dataset,k-means,k-medians,spectral_clustering,ward,agglomerative,dbscan,hdbscan,optics,birch,gaussian,mean_shift,affinity_propagation
BreastTissue,0.8679726202824326,1.124736587025325,1.138354722641373,0.8757026852126989,1.128264686823269,,0.6607130221962046,,0.879114850082268,1.294498081732656,0.6133835044204546,0.8660552159295104
BreastWisconsin,1.312320309132521,1.3179683327925358,1.3209643495396586,1.385905404890011,2.5789721126807907,1.0209492893930547,0.8437431795144025,,1.3796280649391532,1.3770336370335927,0.9090114464956008,1.2733146830926996
Ecoli,1.0862184962920032,1.4776174448501105,0.9638235417045565,1.2375822855260679,1.9240971213452807,0.9102449860432871,0.8597307797552314,0.7243943240801451,1.0209983824944717,1.4309991256444645,0.6896117884535946,1.1941624595214126
Glass,0.9914111353305411,1.0404730491967786,1.464866230365358,1.0228642810183306,1.2917799134641093,0.6916142170257144,0.6984787793809376,,1.1579396057934508,1.6314804337935753,0.5971343966207829,1.1928944408747546
Haberman,1.4849924713613512,1.494217446546264,0.91612826959183,1.5534001287247408,1.6728988714130317,,,,1.309207500027985,2.3437330456760894,0.953769921188011,0.8607579068570477
Ionosphere,1.6818988089219558,1.7403773055504486,1.6790814874892364,1.7101458672557657,4.455600630562538,,0.9137520908494328,,1.7013196162184552,2.998153447808797,0.7602436642305331,0.7572942025109638
Iris,0.8354097797334546,0.8395996525098718,0.8336814946470978,0.8059403903523602,0.5370221357185765,0.5975546123038904,0.5891409599309373,,0.8399837433815275,1.084668671375086,0.5975546123038904,0.8313817940215074
Movement_libras,1.2960759141121423,1.3678168846945045,1.3734512648640094,1.3297531283497048,2.0834579952907375,1.1085484292555463,0.947872316411146,,1.3811377709162156,1.3136961393379647,0.8446327219599136,1.1951798357382069
Musk,1.4867010566409653,1.509325492974702,0.5700288225452881,1.5150879524038179,5.38502672139623,,1.0487179542516385,,1.5150879524038179,1.8920200547104737,1.0394958282921294,1.7157128975693392
Parkinsons,1.0705236720251248,1.3268484119330233,1.1650978756260233,1.3210907918462143,2.5061613204133737,,0.8429210605978007,,1.334530308409293,1.3611675582637008,0.8713362143706825,1.1693998217307895
Segmentation,1.0829572407141084,1.9627434941070967,1.184516018400257,1.1056064949965356,2.652779729066176,1.0017671730459095,0.9608533452074043,0.8897514520334739,1.0776976851379758,1.6638550258319804,0.6130418550554314,0.9636031285725307
SonarAll,2.154400180146057,2.4695536213522007,2.4853555903271576,2.6820625243064615,4.639156268146535,1.148727623472995,1.1689446413387303,1.1505706817883785,2.0633499657671446,2.529322865105481,0.4712083856017669,1.8108298615604115
Spectf,1.5008635977564824,1.5533343821309566,0.2943881701577144,1.8216359984394068,2.5685168755140957,,1.0155471268090734,,1.697829294360672,1.813057145056592,,1.0960428276150578
Transfusion,1.0117206027981345,1.1920225929094972,1.030769842936523,1.0889031214626794,0.3315388334680985,,0.8209195457019655,,0.9406092820678102,1.2134366416113225,0.39441160551161597,1.1613512759432758
Vehicle,1.0683502195820729,1.5332047703060014,1.2269923454863296,1.1341197191435093,7.195868000837806,0.9578293898704211,0.9855576267325025,,1.101379311323993,1.1417621426676634,1.0680599889840654,1.4817434345462923
VertebralColumn,1.2985527754872406,1.3410559999742204,1.1962826269040674,1.338575110118568,1.5589823341528242,,0.680331394483631,,1.2751014551730144,1.4681432082977703,0.8545278260165612,1.2292016314344838
Vowel_context,1.6335373691226236,1.6997950803989403,1.636272818526573,1.6936221601620405,4.457684796345423,1.026884528813178,1.6259139395711397,,1.792804769551491,1.5559583065009983,1.1435699991453885,1.1198861150717205
Wine,1.3891879616765817,1.4110844586925075,1.3878402695617575,1.411342428646691,1.6458128704300468,1.2231029551190347,1.092607042088467,0.8323979188069844,1.418591956611116,1.3891879616765817,0.96331766950985,1.6384173744392971
WineQualityRed,1.398742066938871,1.950288767630034,1.4567960803299727,1.5545613245512253,4.638309575124,1.0007827381626468,0.5912879397289551,,1.5272386157326576,2.011854435915797,1.1335896667510097,1.322667570038529
Yeast,1.2273144215356642,1.574863633025966,1.3548742138602186,1.3350178779074717,5.898426224090521,0.8587500017506647,0.4686838777626143,,1.2574141447003468,1.4866111226440863,0.9055345990490463,1.355500212166016
