dataset,k-means,k-medians,spectral_clustering,ward,agglomerative,dbscan,hdbscan,optics,birch,gaussian,mean_shift,affinity_propagation
BreastTissue,0.07873997837305069,0.041815489530563354,0.01836969703435898,0.07946199178695679,0.03798530623316765,,0.21487107872962952,,0.07946199178695679,0.04135546833276749,0.10836868733167648,0.07602140307426453
BreastWisconsin,0.06076298654079437,0.0673070028424263,0.05699383094906807,0.07519496977329254,0.10060298442840576,0.18644116818904877,0.2479417622089386,,0.06945408135652542,0.051761284470558167,0.15232931077480316,0.1057705283164978
Ecoli,0.055372003465890884,0.007239908445626497,0.01620156690478325,0.06694749742746353,0.05314982309937477,0.14700765907764435,0.20564918220043182,0.12039123475551605,0.08000121265649796,0.043012551963329315,0.06420227140188217,0.06340398639440536
Glass,0.045014962553977966,0.045014962553977966,0.024071091786026955,0.03610987216234207,0.06643294543027878,0.3875866234302521,0.3198704123497009,,0.06200454384088516,0.04892997816205025,0.08371695876121521,0.033872876316308975
Haberman,0.035245832055807114,0.03906117007136345,0.12570126354694366,0.033311087638139725,0.03254108875989914,,,,0.055084068328142166,0.017311548814177513,0.053116947412490845,0.06437341868877411
Ionosphere,0.07088220119476318,0.06706669181585312,0.05569347366690636,0.07585194706916809,0.054772261530160904,,0.21228961646556854,,0.07012651115655899,0.12546363472938538,0.0871521532535553,0.06955975294113159
Iris,0.02637241594493389,0.05146614834666252,0.05839269608259201,0.09799839556217194,0.17813090980052948,0.26671302318573,0.30055010318756104,,0.0767645388841629,0.07360924780368805,0.26671302318573,0.06632154434919357
Movement_libras,0.06647451221942902,0.08589091897010803,0.16581784188747406,0.16409024596214294,0.10933534801006317,0.20223368704319,0.2358301430940628,,0.11713354289531708,0.11307583004236221,0.1660178005695343,0.15335750579833984
Musk,0.1991300731897354,0.18294857442378998,0.4797388017177582,0.2314218431711197,0.12950941920280457,,0.46618542075157166,,0.2314218431711197,0.2013704478740692,0.21543249487876892,0.15991777181625366
Parkinsons,0.07730117440223694,0.0834827721118927,0.07616586983203888,0.08588674664497375,0.04396755248308182,,0.24951189756393433,,0.08695705235004425,0.058683544397354126,0.13941903412342072,0.1138184666633606
Segmentation,0.010749772191047668,0.008526074700057507,0.005745986942201853,0.023775171488523483,0.009607961401343346,0.07436203956604004,0.07154904305934906,0.11695121973752975,0.023775171488523483,0.009819156490266323,0.016154015436768532,0.017568912357091904
SonarAll,0.17474621534347534,0.1859147995710373,0.19106653332710266,0.2078162133693695,0.21342074871063232,0.5629265308380127,0.5391998887062073,0.6809096932411194,0.3110957145690918,0.22183193266391754,0.557799220085144,0.15398408472537994
Spectf,0.23751592636108398,0.2254628688097,0.6304425001144409,0.14560571312904358,0.11359117180109024,,0.48554790019989014,,0.1759328693151474,0.1848592907190323,,0.241463303565979
Transfusion,0.014991424977779388,0.017402511090040207,0.0027600943576544523,0.010758381336927414,0.17817457020282745,,0.020668337121605873,,0.023270180448889732,0.006883297115564346,0.07820124924182892,0.0
Vehicle,0.09071024507284164,0.0422724187374115,0.04704554006457329,0.08514752238988876,0.041480693966150284,0.1167820543050766,0.1947815865278244,,0.10105891525745392,0.08291062712669373,0.10155066102743149,0.09567228704690933
VertebralColumn,0.026285532861948013,0.02639986388385296,0.01772993616759777,0.03287455439567566,0.035120297223329544,,0.22101575136184692,,0.04478764533996582,0.031726036220788956,0.05253283679485321,0.06983210146427155
Vowel_context,0.01737857796251774,0.048358846455812454,0.048659373074769974,0.11460915207862854,0.046323686838150024,0.10807135701179504,0.19079357385635376,,0.06344445794820786,0.05234431102871895,0.07944333553314209,0.07656364142894745
Wine,0.2322567105293274,0.22858639061450958,0.17689716815948486,0.22858639061450958,0.17110639810562134,0.26851633191108704,0.31766578555107117,0.6410447955131531,0.22858639061450958,0.2322567105293274,0.22492307424545288,0.21862971782684326
WineQualityRed,0.04365300387144089,0.019945792853832245,0.0,0.056997355073690414,0.039199355989694595,0.15566235780715942,0.25272661447525024,,0.04061843082308769,0.03058544173836708,0.053099844604730606,0.0
Yeast,0.03378211706876755,0.019241975620388985,0.02944674901664257,0.0415310375392437,0.02007199637591839,0.12509113550186157,0.4760165512561798,,0.038286518305540085,0.016397682949900627,0.07325316965579987,0.05287765711545944
