dataset,silhouette_algorithm,silhouette_value,calinski_harabasz_algorithm,calinski_harabasz_value,davies_bouldin_algorithm,davies_bouldin_value,dunn_algorithm,dunn_value
BreastTissue,hdbscan,0.5024240612983704,k-means,81.12495422363281,mean_shift,0.6133835044204546,hdbscan,0.21487107872962952
BreastWisconsin,hdbscan,0.3641265332698822,k-means,267.6963806152344,hdbscan,0.8437431795144025,hdbscan,0.2479417622089386
Ecoli,optics,0.46587705612182617,optics,230.23739624023438,mean_shift,0.6896117884535946,hdbscan,0.20564918220043182
Glass,dbscan,0.5445647835731506,dbscan,118.20658111572266,mean_shift,0.5971343966207829,dbscan,0.3875866234302521
Haberman,affinity_propagation,0.4860800504684448,k-means,103.75431823730469,affinity_propagation,0.8607579068570477,spectral_clustering,0.12570126354694366
Ionosphere,hdbscan,0.4408188462257385,k-means,95.91250610351562,affinity_propagation,0.7572942025109638,hdbscan,0.21228961646556854
Iris,hdbscan,0.5883632302284241,hdbscan,263.7052917480469,agglomerative,0.5370221357185765,hdbscan,0.30055010318756104
Movement_libras,hdbscan,0.3287063539028168,k-means,52.85030746459961,mean_shift,0.8446327219599136,hdbscan,0.2358301430940628
Musk,hdbscan,0.3440607190132141,k-means,179.37269592285156,spectral_clustering,0.5700288225452881,spectral_clustering,0.4797388017177582
Parkinsons,k-means,0.4403858780860901,k-means,102.71857452392578,hdbscan,0.8429210605978007,hdbscan,0.24951189756393433
Segmentation,optics,0.48012056946754456,optics,1003.6651000976562,mean_shift,0.6130418550554314,optics,0.11695121973752975
SonarAll,optics,0.3410131633281708,k-means,35.40533447265625,mean_shift,0.4712083856017669,optics,0.6809096932411194
Spectf,spectral_clustering,0.5828580260276794,k-means,81.53243255615234,spectral_clustering,0.2943881701577144,spectral_clustering,0.6304425001144409
Transfusion,agglomerative,0.7506312131881714,hdbscan,485.7331848144531,agglomerative,0.3315388334680985,agglomerative,0.17817457020282745
Vehicle,hdbscan,0.3206442594528198,k-means,433.9752502441406,dbscan,0.9578293898704211,hdbscan,0.1947815865278244
VertebralColumn,hdbscan,0.4497312605381012,k-means,153.59591674804688,hdbscan,0.680331394483631,hdbscan,0.22101575136184692
Vowel_context,affinity_propagation,0.2869371771812439,k-means,137.2750701904297,dbscan,1.026884528813178,hdbscan,0.19079357385635376
Wine,optics,0.48843953013420105,optics,128.2047576904297,optics,0.8323979188069844,optics,0.6410447955131531
WineQualityRed,hdbscan,0.3506793677806854,k-means,279.97698974609375,hdbscan,0.5912879397289551,hdbscan,0.25272661447525024
Yeast,hdbscan,0.6889294385910034,k-means,317.0992126464844,hdbscan,0.4686838777626143,hdbscan,0.4760165512561798
