dataset,k-means,k-medians,spectral_clustering,ward,agglomerative,dbscan,hdbscan,optics,birch,gaussian,mean_shift,affinity_propagation
BreastTissue,0.39919131994247437,0.2645663917064667,0.22330138087272644,0.31558743119239807,0.24365435540676117,,0.5024240612983704,,0.31093630194664,0.20685462653636932,0.3447362184524536,0.3180135190486908
BreastWisconsin,0.34497401118278503,0.33613088726997375,0.33509698510169983,0.32057929039001465,-0.16456493735313416,0.3035968244075775,0.3641265332698822,,0.31596505641937256,0.3144887089729309,0.1173688992857933,0.22581353783607483
Ecoli,0.2615691125392914,0.21288685500621796,0.39130860567092896,0.2284947782754898,0.14648717641830444,0.43050727248191833,0.45474427938461304,0.46587705612182617,0.3391530215740204,0.3000803589820862,0.3759194612503052,0.20297175645828247
Glass,0.32474952936172485,0.3217846751213074,0.16257305443286896,0.28221264481544495,0.1132345050573349,0.5445647835731506,0.5401880145072937,,0.32747748494148254,0.25264036655426025,0.2947648763656616,0.18217214941978455
Haberman,0.2747565507888794,0.27370506525039673,0.4560980200767517,0.26745665073394775,0.2483023852109909,,,,0.3283590078353882,0.13837628066539764,0.2842336893081665,0.4860800504684448
Ionosphere,0.27041247487068176,0.24974656105041504,0.24584165215492249,0.26708224415779114,0.18267826735973358,,0.4408188462257385,,0.26852816343307495,0.1766221523284912,0.07746947556734085,0.1985609233379364
Iris,0.4589717984199524,0.4577583968639374,0.45252755284309387,0.44553956389427185,0.4939909279346466,0.5801844000816345,0.5883632302284241,,0.4526927173137665,0.3727731704711914,0.5801844000816345,0.3693501353263855
Movement_libras,0.24537692964076996,0.21671947836875916,0.21682590246200562,0.24570080637931824,0.021413378417491913,0.0755043551325798,0.3287063539028168,,0.23326629400253296,0.22491727769374847,0.23255792260169983,0.2507701516151428
Musk,0.2857535779476166,0.2812323570251465,0.3012380599975586,0.26213592290878296,0.029843246564269066,,0.3440607190132141,,0.26213592290878296,0.22197392582893372,0.06521628797054291,0.1451147049665451
Parkinsons,0.4403858780860901,0.2760327160358429,0.16079892218112946,0.32588380575180054,-0.020250065252184868,,0.4228876233100891,,0.27146396040916443,0.24835199117660522,0.18220338225364685,0.18414783477783203
Segmentation,0.35712456703186035,0.23907296359539032,0.317701518535614,0.3353860080242157,0.10123907774686813,0.21088457107543945,0.3618549704551697,0.48012056946754456,0.3583294451236725,0.27097782492637634,0.2775532603263855,0.287412166595459
SonarAll,0.2196817696094513,0.13381557166576385,0.14974141120910645,0.11497379839420319,0.06186896190047264,0.27536267042160034,0.2691718339920044,0.3410131633281708,0.24609798192977905,0.15941821038722992,0.06214582547545433,0.12772491574287415
Spectf,0.4597764015197754,0.4350864291191101,0.5828580260276794,0.36417195200920105,0.09014861285686493,,0.20927219092845917,,0.40555819869041443,0.3770395815372467,,0.03436115011572838
Transfusion,0.43556368350982666,0.3321860134601593,0.15660035610198975,0.38878148794174194,0.7506312131881714,,0.6361390948295593,,0.4678604304790497,0.30798473954200745,0.5543903708457947,0.36686816811561584
Vehicle,0.3053891062736511,0.2456972748041153,0.24565397202968597,0.2828042209148407,-0.01954745128750801,0.22135619819164276,0.3206442594528198,,0.2852059602737427,0.2833114564418793,0.110774464905262,0.15742884576320648
VertebralColumn,0.295131117105484,0.29015371203422546,0.3444434106349945,0.2668342888355255,-0.01429203525185585,,0.4497312605381012,,0.2760041654109955,0.22603806853294373,0.15863387286663055,0.16830916702747345
Vowel_context,0.17784267663955688,0.1603701263666153,0.14232808351516724,0.14244024455547333,-0.22273193299770355,0.23053285479545593,0.023372264578938484,,0.12770743668079376,0.15739655494689941,0.24200040102005005,0.2869371771812439
Wine,0.28485891222953796,0.28202930092811584,0.28508806228637695,0.27839338779449463,0.08079035580158234,0.31422722339630127,0.3524024188518524,0.48843953013420105,0.2774440050125122,0.28485891222953796,0.21947497129440308,0.11985941976308823
WineQualityRed,0.1943267434835434,0.14620783925056458,0.1766258180141449,0.14234167337417603,0.0095532750710845,0.08508184552192688,0.3506793677806854,,0.16948947310447693,0.12208424508571625,0.021877629682421684,0.1540375053882599
Yeast,0.18484032154083252,0.13907742500305176,0.1866254210472107,0.16968800127506256,-0.288896381855011,0.28100359439849854,0.6889294385910034,,0.17268256843090057,0.15471599996089935,0.04906513914465904,0.14084148406982422
