dataset,inference_time_ms,k-means,k-medians,spectral_clustering,ward,agglomerative,dbscan,hdbscan,optics,birch,gaussian,mean_shift,affinity_propagation
BreastTissue,40.94709997298196,0.42707204818725586,0.4602855145931244,0.5904668569564819,0.4775247573852539,0.5909635424613953,0.5392149090766907,0.5231033563613892,0.6295726895332336,0.4985080659389496,0.6128872036933899,0.4454827308654785,0.3632276654243469
BreastWisconsin,54.21309999655932,0.3205837309360504,0.31157949566841125,0.39568227529525757,0.35144469141960144,0.3834091126918793,0.35636815428733826,0.34945186972618103,0.37902218103408813,0.374043732881546,0.45541998744010925,0.32019856572151184,0.2474292367696762
Ecoli,50.29159999685362,0.5735688209533691,0.5470003485679626,0.6880888342857361,0.6028398871421814,0.6408187747001648,0.639621913433075,0.6268999576568604,0.6604363918304443,0.6241987347602844,0.6464043855667114,0.6221364140510559,0.37396466732025146
Glass,55.396299983840436,0.40242835879325867,0.42984849214553833,0.6019983291625977,0.4910139739513397,0.6909744143486023,0.6617053747177124,0.5636083483695984,0.6530778408050537,0.4804885983467102,0.5850998163223267,0.4465477466583252,0.4016687870025635
Haberman,35.319400019943714,0.5060393214225769,0.4912026524543762,0.5993307828903198,0.4811340272426605,0.6341656446456909,0.5563971400260925,0.5770111083984375,0.5995701551437378,0.541871964931488,0.5323856472969055,0.5959680080413818,0.4629529118537903
Ionosphere,27.592699974775314,0.549905002117157,0.5419522523880005,0.9145796895027161,0.6278150081634521,0.8950581550598145,0.8830847144126892,0.8587981462478638,0.9061643481254578,0.6538036465644836,0.7988386154174805,0.721358060836792,0.5671623945236206
Iris,31.123200024012476,0.6539739370346069,0.667367160320282,0.8363714218139648,0.6823341250419617,0.7333240509033203,0.7829331159591675,0.7183111310005188,0.782189130783081,0.7391567826271057,0.7707608938217163,0.7963863015174866,0.5731558799743652
Movement_libras,37.813000031746924,0.6487849354743958,0.6499137878417969,0.829319417476654,0.6834900975227356,0.5609058737754822,0.6649977564811707,0.5146511197090149,0.5697116255760193,0.7156592011451721,0.7277929186820984,0.7282235622406006,0.5385655164718628
Musk,132.7111999853514,0.903019368648529,0.9099119305610657,0.9648922085762024,0.9155907034873962,0.9582838416099548,0.9460954070091248,0.9593150019645691,0.9667682647705078,0.9145785570144653,0.887600839138031,0.9250451922416687,0.5969316959381104
Parkinsons,44.065300025977194,0.3376929461956024,0.33274126052856445,0.3949763774871826,0.3542223870754242,0.458827942609787,0.3989591896533966,0.39714285731315613,0.4387921988964081,0.3935481607913971,0.43889757990837097,0.34855422377586365,0.27641451358795166
Segmentation,199.51000000583008,0.5376563668251038,0.5256441235542297,0.7190608382225037,0.5642361044883728,0.755437970161438,0.6998607516288757,0.6531000137329102,0.7639755606651306,0.590887725353241,0.6519627571105957,0.5323134064674377,0.492971807718277
SonarAll,40.15309998067096,0.6328579783439636,0.5927127599716187,0.6762964725494385,0.6238328218460083,0.7631145715713501,0.7244848608970642,0.6661146879196167,0.7433399558067322,0.6688878536224365,0.6812602281570435,0.6157944798469543,0.41676566004753113
Spectf,26.958500035107136,0.4966876208782196,0.49741536378860474,0.6764954924583435,0.5236290693283081,0.4849375784397125,0.5973177552223206,0.5449329018592834,0.5788159370422363,0.5231004953384399,0.5625830888748169,0.5309793949127197,0.3320673704147339
Transfusion,31.779499957337976,0.3166458010673523,0.3330402970314026,0.41160455346107483,0.3532247841358185,0.4386166036128998,0.3810240924358368,0.3808305561542511,0.4225800633430481,0.38382360339164734,0.4329054355621338,0.3421095907688141,0.2916695773601532
Vehicle,41.79329995531589,0.6749536395072937,0.6450852751731873,0.7413403391838074,0.686802327632904,0.7160992622375488,0.6884011626243591,0.6847509741783142,0.7014203667640686,0.6991433501243591,0.7238459587097168,0.7045422196388245,0.46699514985084534
VertebralColumn,52.78640001779422,0.2999269664287567,0.2873440682888031,0.3563285768032074,0.3097667396068573,0.3063032329082489,0.2912129759788513,0.2898786664009094,0.29651138186454773,0.3481850326061249,0.42138949036598206,0.31423377990722656,0.19592192769050598
Vowel_context,28.901999990921468,0.15271975100040436,0.12847644090652466,0.5274774432182312,0.2097962349653244,0.19104544818401337,0.19900958240032196,0.11990680545568466,0.12162716686725616,0.18609479069709778,0.2352966070175171,0.2775385081768036,0.1309150755405426
Wine,39.89529999671504,0.8654643297195435,0.8548804521560669,0.9437788128852844,0.8930845260620117,0.877753734588623,0.9080624580383301,0.8567075729370117,0.874067485332489,0.8892392516136169,0.9104335904121399,0.9041256308555603,0.5724722743034363
WineQualityRed,86.96829999098554,0.3316611647605896,0.30281224846839905,0.3404044806957245,0.3453846573829651,0.3532527685165405,0.34359464049339294,0.3475353717803955,0.3838915228843689,0.3523831069469452,0.405830442905426,0.3127518594264984,0.23848536610603333
Yeast,78.5782000166364,0.23295095562934875,0.23899491131305695,0.2879827618598938,0.26116546988487244,0.3037426471710205,0.326901912689209,0.2745652496814728,0.28863269090652466,0.26475757360458374,0.3313440680503845,0.25434067845344543,0.22780899703502655
