dataset,oracle_best_algorithm,oracle_best_ari,oracle_time_ms,DeepModel_algorithm,DeepModel_oracle_ari,DeepModel_time_ms,ML2DAC_statistical+info-theory+general_algorithm,ML2DAC_statistical+info-theory+general_oracle_ari,ML2DAC_statistical+info-theory+general_time_ms,AML4C_DBCV_algorithm,AML4C_DBCV_oracle_ari,AML4C_DBCV_time_ms,AML4C_COP_algorithm,AML4C_COP_oracle_ari,AML4C_COP_time_ms,ML2DAC_statistical+general_algorithm,ML2DAC_statistical+general_oracle_ari,ML2DAC_statistical+general_time_ms,AutoCluster_CH_algorithm,AutoCluster_CH_oracle_ari,AutoCluster_CH_time_ms,AutoCluster_DBI_algorithm,AutoCluster_DBI_oracle_ari,AutoCluster_DBI_time_ms,AutoCluster_SIL_algorithm,AutoCluster_SIL_oracle_ari,AutoCluster_SIL_time_ms,AutoClust_algorithm,AutoClust_oracle_ari,AutoClust_time_ms,davies_bouldin_algorithm,davies_bouldin_oracle_ari,davies_bouldin_time_ms_total,calinski_harabasz_algorithm,calinski_harabasz_oracle_ari,calinski_harabasz_time_ms_total,silhouette_algorithm,silhouette_oracle_ari,silhouette_time_ms_total,dunn_algorithm,dunn_oracle_ari,dunn_time_ms_total
BreastTissue,spectral_clustering,0.4152142505532855,21172.420248998606,spectral_clustering,0.4152142505532855,428.9470000658184,k-means,0.259222339006225,453.8133144378662,k-means,0.259222339006225,381.0031414031982,k-means,0.259222339006225,370.309829711914,k-means,0.259222339006225,6.690502166748,dbscan,0.2684220681201693,132.8184604644775,dbscan,0.2684220681201693,154.6392440795898,dbscan,0.2684220681201693,395.3869342803955,dbscan,0.2684220681201693,144.1707611083984,mean_shift,0.2540343372228482,21182.469549034067,k-means,0.259222339006225,21174.559748875254,hdbscan,0.1813021947565886,21178.670648861953,hdbscan,0.1813021947565886,21181.701149003857
BreastWisconsin,spectral_clustering,0.7859103688343316,74503.33907499953,spectral_clustering,0.7859103688343316,16.904199961572886,k-means,0.6707206476880808,845.0667858123779,gaussian,0.7740159832538671,842.8795337677002,birch,0.6954257540995016,950.5059719085692,k-means,0.6707206476880808,109.1392040252685,dbscan,0.2950646410412531,2411.898612976074,dbscan,0.2950646410412531,2401.7553329467773,dbscan,0.2950646410412531,2342.3609733581543,dbscan,0.2950646410412531,2157.743453979492,hdbscan,0.1559871161669019,74514.73607493608,k-means,0.6707206476880808,74506.48077505684,hdbscan,0.1559871161669019,74542.74967497258,hdbscan,0.1559871161669019,74695.79827504276
Ecoli,birch,0.7954284710130451,56641.89420399998,spectral_clustering,0.7201949538920116,17.9685999173671,gaussian,0.6505391431785865,360.6131076812744,gaussian,0.6505391431785865,230.4823398590088,ward,0.5182496729933496,224.8246669769287,gaussian,0.6505391431785865,6.5281391143798,dbscan,0.4965858831272649,247.7052211761474,dbscan,0.4965858831272649,249.37105178833,dbscan,0.4965858831272649,1331.9456577301023,mean_shift,0.7418708034227178,665.6672954559326,mean_shift,0.7418708034227178,56654.078103991196,optics,0.5190527339306703,56644.73550409821,optics,0.5190527339306703,56657.49340403636,hdbscan,0.4042503828703309,56724.784703848854
Glass,birch,0.2919489577209197,34466.357813002105,spectral_clustering,0.2254142912758842,13.041900005191565,gaussian,0.2256830468040867,399.8253345489502,gaussian,0.2256830468040867,379.7585964202881,ward,0.1350688630167201,390.7027244567871,ward,0.1350688630167201,9.2711448669433,dbscan,0.250714592057752,186.1269474029541,dbscan,0.250714592057752,208.7998390197754,dbscan,0.250714592057752,1222.3491668701172,mean_shift,0.2898585906149512,341.9697284698486,mean_shift,0.2898585906149512,34477.65161285133,dbscan,0.250714592057752,34468.74151287557,dbscan,0.250714592057752,34475.77601300509,dbscan,0.250714592057752,34498.89741304287
Haberman,mean_shift,0.1834163453569174,40326.904894997824,mean_shift,0.1834163453569174,11.366300052031876,dbscan,0.1576642097717907,33.5798263549804,dbscan,0.1576642097717907,33.964157104492095,ward,0.0143410141644985,33.6370468139648,ward,0.0143410141644985,4.646301269531199,dbscan,0.1576642097717907,193.3937072753906,dbscan,0.1576642097717907,242.5844669342041,dbscan,0.1576642097717907,1473.006010055542,mean_shift,0.1834163453569174,906.6286087036132,affinity_propagation,0.0299615908380245,40332.27269512554,k-means,-0.0011018075368244,40328.69779502926,affinity_propagation,0.0299615908380245,40338.079794989426,spectral_clustering,0.079278276581592,40376.62089497735
Ionosphere,dbscan,0.7319011108580683,47462.11935900283,optics,0.7215603771671905,12.66670017503202,ward,0.1874430024552788,987.6461029052734,ward,0.1874430024552788,943.0108070373536,birch,0.1975397103773112,896.2419033050537,ward,0.1874430024552788,47.9135513305664,dbscan,0.7319011108580683,1931.218147277832,dbscan,0.7319011108580683,2563.0133152008057,dbscan,0.7319011108580683,2297.133207321167,mean_shift,0.3633691820876392,1260.357141494751,affinity_propagation,0.128251182624705,47477.533858913375,k-means,0.1679020141425987,47465.14685888906,hdbscan,0.4190984720032523,47480.18735897858,hdbscan,0.4190984720032523,47536.89505899456
Iris,gaussian,0.9038742317748124,21465.887349000695,gaussian,0.9038742317748124,11.95820001885295,dbscan,0.5681159420289855,73.2448101043701,dbscan,0.5681159420289855,67.1005249023437,ward,0.6153229932145449,68.8621997833252,dbscan,0.5681159420289855,6.8929195404052,dbscan,0.5681159420289855,142.00043678283689,dbscan,0.5681159420289855,165.1921272277832,dbscan,0.5681159420289855,595.421552658081,dbscan,0.5681159420289855,247.2217082977295,agglomerative,0.5637510205230709,21472.258648969728,hdbscan,0.5637510205230709,21467.628048867482,hdbscan,0.5637510205230709,21473.409148999053,hdbscan,0.5637510205230709,21484.570448887098
Movement_libras,spectral_clustering,0.398528790503782,121895.40887599924,spectral_clustering,0.398528790503782,23.752600187435743,ward,0.319464274326113,1111.4842891693115,ward,0.319464274326113,1125.9031295776367,ward,0.319464274326113,1051.1424541473389,ward,0.319464274326113,304.2612075805664,dbscan,0.1196928056112685,1818.6275959014893,dbscan,0.1196928056112685,2026.77583694458,dbscan,0.1196928056112685,1953.3710479736328,mean_shift,0.2948263414122591,1672.553300857544,mean_shift,0.2948263414122591,121919.302375979,k-means,0.3108399717454102,121900.11857588889,hdbscan,0.0794891231744972,121918.01697597021,hdbscan,0.0794891231744972,121995.74677598776
Musk,hdbscan,0.0985567375629069,148596.14901799976,agglomerative,0.0723869254060194,63.95380012691021,k-means,0.0042120815094551,1324.265480041504,k-means,0.0042120815094551,1078.815460205078,birch,-0.0005113765326483,1156.5189361572266,k-means,0.0042120815094551,445.8937644958496,dbscan,0.0,2407.7837467193604,dbscan,0.0,2408.8737964630127,dbscan,0.0,2094.2869186401367,dbscan,0.0,1787.0304584503174,spectral_clustering,0.001258314510423,148612.4582178545,k-means,0.0042120815094551,148600.25161803968,hdbscan,0.0985567375629069,148630.0723179829,spectral_clustering,0.001258314510423,148737.9247180306
Parkinsons,spectral_clustering,0.4372577852472124,27458.154534998357,mean_shift,0.0693430241004022,12.081100139766932,k-means,-0.0978077397929484,906.1832427978516,k-means,-0.0978077397929484,807.0721626281738,birch,0.1429961454166416,760.446310043335,k-means,-0.0978077397929484,24.914026260375906,dbscan,0.0396436098427317,1068.734884262085,dbscan,0.0396436098427317,1019.0601348876952,dbscan,0.0396436098427317,962.8162384033204,mean_shift,0.0693430241004022,335.5746269226074,hdbscan,0.1471827216999872,27467.020635104745,k-means,-0.0978077397929484,27460.900635070175,k-means,-0.0978077397929484,27467.22903482896,hdbscan,0.1471827216999872,27481.670935017064
