dataset,k-means,k-medians,spectral_clustering,ward,agglomerative,dbscan,hdbscan,optics,birch,gaussian,mean_shift,affinity_propagation
BreastTissue,0.25922233900622504,0.3046709089037414,0.4152142505532855,0.3139164800708399,0.36725642569705313,0.26842206812016933,0.18130219475658862,0.22597668234812845,0.3298469286233706,0.35232569959774035,0.2540343372228482,0.22317289117836445
BreastWisconsin,0.6707206476880808,0.7425903043586647,0.7859103688343316,0.6950975330461043,0.0072761828173037914,0.29506464104125313,0.15598711616690192,0.15507804275933165,0.6954257540995016,0.7740159832538671,0.5138953190651423,0.5191076353489488
Ecoli,0.4997703692445937,0.49343714280061696,0.7201949538920116,0.5182496729933496,0.3955493605241259,0.4965858831272649,0.40425038287033094,0.5190527339306703,0.7954284710130451,0.6505391431785865,0.7418708034227178,0.24526116895939334
Glass,0.16995347421044565,0.18414603181302228,0.2254142912758842,0.1350688630167201,0.2877437423362856,0.250714592057752,0.2570359504033518,0.22073627216430036,0.2919489577209197,0.2256830468040867,0.28985859061495123,0.1598497127315505
Haberman,-0.001101807536824497,-5.2545713841577895e-05,0.07927827658159207,0.01434101416449857,0.15534306488332222,0.15766420977179074,0.0,0.14277572539389552,0.15557789944764086,0.10399787130992173,0.18341634535691748,0.029961590838024563
Ionosphere,0.1679020141425987,0.09327632528671104,0.10127957931638913,0.18744300245527884,0.3331922864558876,0.7319011108580683,0.41909847200325234,0.7215603771671905,0.19753971037731122,0.39420449702955407,0.3633691820876392,0.12825118262470508
Iris,0.6201351808870379,0.665565373391185,0.652516389967057,0.6153229932145449,0.5637510205230709,0.5681159420289855,0.5637510205230709,0.5681159420289855,0.7195837484778036,0.9038742317748124,0.5681159420289855,0.47717053764364115
Movement_libras,0.3108399717454102,0.306006768364551,0.398528790503782,0.319464274326113,0.10733057683422055,0.11969280561126859,0.07948912317449726,0.07102861106127564,0.3232886128304411,0.2803954199611203,0.29482634141225916,0.2898175176220861
Musk,0.004212081509455147,0.0037525334058341234,0.001258314510423006,-0.0005113765326483379,0.07238692540601945,0.0,0.09855673756290692,0.0,-0.0005113765326483379,0.0013775672103233003,0.032783475064067404,0.027253654499074003
Parkinsons,-0.09780773979294843,0.12665731088079107,0.4372577852472124,-0.059881169225094004,0.23729196735629077,0.03964360984273179,0.1471827216999872,0.24818945870120987,0.1429961454166416,0.12184138103577684,0.0693430241004022,0.02581178857853636
Segmentation,0.4615460297436876,0.523735702701219,0.35886542731000953,0.43657017779137897,0.2914921164190052,0.3013136666643123,0.45230287142009507,0.2524502815082172,0.47511706918903057,0.49398460525161997,0.43650197729978435,0.18853684639051893
SonarAll,-0.0014149496573230694,0.001117853237078798,0.032359377931022164,0.004458612826813663,0.02871042191764478,0.012519037722036637,0.0034646967755384596,0.012160980276138615,-0.0013782379757571474,0.004463768213507509,0.018133427772846968,0.04441958049055753
Spectf,-0.1026042961417461,-0.1053079344741902,-0.0055042035286820955,-0.10177501481633142,0.09815273371075667,0.2555076859524542,0.04528498235226569,0.012620593428521027,-0.10652753904181568,-0.09884688635550147,0.0,-0.008761628878040545
Transfusion,0.05265589532373491,0.051992901874388764,0.03616317675608348,0.07253736243434183,0.031083966401093843,0.032442904317103165,-0.00501640623040357,0.08365209649276639,0.12520259964037853,0.027108738410059594,0.05665061581773324,0.01027473461628869
Vehicle,0.07612445208069152,0.11166474137329106,0.11895985204663638,0.0924164736299749,0.05462278467110856,0.09932298423153287,0.08932729127795871,0.06866488017386096,0.10715391479411837,0.0889862389458207,0.10785813089501341,0.07202110683043313
VertebralColumn,0.21139147932681057,0.22236928240318143,0.27436084174681086,0.26695411155191096,0.4511705595378765,0.3289180875300741,0.2789729601535117,0.3851059000850857,0.29185611340520345,0.41207652886855883,0.12276111963154578,0.07003670337847204
Vowel_context,0.17925067712686008,0.17878468146844326,0.17796150141148592,0.1673194515217492,0.07730144134478135,0.13559066280831789,0.03181882404931516,0.04007927810703945,0.19281281452272903,0.175859726908514,0.1702901838648277,0.13043171049400765
Wine,0.8974949815093207,0.8803997758776985,0.9471317617859916,0.8203011716576761,0.5131737835258008,0.4361857850990205,0.3422308155663096,0.7330177684582198,0.7899332213582837,0.8974949815093207,0.7782106757608955,0.2449125524438245
WineQualityRed,0.06273319053695013,0.0743048580380657,0.0731753286625109,0.0637540600308819,0.010556040556093115,0.025043712797827546,0.021895553362102655,0.0029783399798339037,0.09149631079789916,0.08420284076175266,0.07645517728637467,0.010190831362518667
Yeast,0.1653673113651511,0.1426453343964658,0.2394943091652681,0.19869179580964202,0.03773423848077363,0.04087063015170171,0.011631776325701067,0.01758455943694556,0.19611883812432376,0.16169351698200668,0.1734967368540825,0.03126625495316376
