Filename,Training Loop Duration,Average Best Val Loss,D_MODEL,N_HEAD,N_LAYERS,NUM_BINS,DROPOUT,LR,WEIGHT_DECAY
train_54109677.err,58217.55,0.047175,64,4,4,10,0.1,0.0001,0.001
train_54109678.err,61282.05,0.047145,64,4,6,10,0.1,0.0001,0.001
train_54109679.err,63897.33,0.046011,64,4,8,10,0.1,0.0001,0.001
train_54109680.err,79177.91,0.046213,64,8,4,10,0.1,0.0001,0.001
train_54109681.err,85022.5,0.049205,64,8,6,10,0.1,0.0001,0.001
train_54243409.err,41293.49,0.067402,32,4,4,10,0.1,0.0001,0.001
train_54243410.err,35647.67,0.074425,32,4,4,10,0.2,0.0001,0.001
train_54243412.err,36569.74,0.081097,32,4,4,10,0.3,0.0001,0.001
train_54243413.err,37328.63,0.077156,32,4,4,10,0.1,5.00E-05,0.001
train_54243414.err,39302.82,0.078563,32,4,4,10,0.2,5.00E-05,0.001
train_54243415.err,38259.65,0.087984,32,4,4,10,0.3,5.00E-05,0.001
train_54243416.err,42220.28,0.089655,32,4,4,10,0.1,1.00E-05,0.001
train_54243417.err,41968.88,0.099742,32,4,4,10,0.2,1.00E-05,0.001
train_54243418.err,40067.51,0.103528,32,4,4,10,0.3,1.00E-05,0.001
train_54243419.err,44711.49,0.071101,32,4,8,10,0.1,0.0001,0.001
train_54243420.err,44066.18,0.082085,32,4,8,10,0.2,0.0001,0.001
train_54243421.err,41637.21,0.08185,32,4,8,10,0.3,0.0001,0.001
train_54243422.err,44789.28,0.081683,32,4,8,10,0.1,5.00E-05,0.001
train_54243423.err,43182.45,0.093459,32,4,8,10,0.2,5.00E-05,0.001
train_54243424.err,43997.31,0.099133,32,4,8,10,0.3,5.00E-05,0.001
train_54243425.err,38688.31,0.099637,32,4,8,10,0.1,1.00E-05,0.001
train_54243426.err,41900.99,0.105626,32,4,8,10,0.2,1.00E-05,0.001
train_54243427.err,40983.68,0.112262,32,4,8,10,0.3,1.00E-05,0.001
train_54243428.err,53528.12,0.072664,32,4,16,10,0.1,0.0001,0.001
train_54243429.err,56413.73,0.088277,32,4,16,10,0.2,0.0001,0.001
train_54243430.err,56009.7,0.083284,32,4,16,10,0.3,0.0001,0.001
train_54243431.err,51223.29,0.079707,32,4,16,10,0.1,5.00E-05,0.001
train_54243432.err,57275.51,0.091933,32,4,16,10,0.2,5.00E-05,0.001
train_54243433.err,51655.2,0.157256,32,4,16,10,0.3,5.00E-05,0.001
train_54243434.err,56508.32,0.092816,32,4,16,10,0.1,1.00E-05,0.001
train_54243435.err,53121.75,0.106315,32,4,16,10,0.2,1.00E-05,0.001
train_54243436.err,54459.56,0.110727,32,4,16,10,0.3,1.00E-05,0.001
train_54243437.err,57727.62,0.046955,64,4,4,10,0.1,0.0001,0.001
train_54243438.err,54718.28,0.058059,64,4,4,10,0.2,0.0001,0.001
train_54243439.err,56288.51,0.06547,64,4,4,10,0.3,0.0001,0.001
train_54243440.err,58287.86,0.062942,64,4,4,10,0.1,5.00E-05,0.001
train_54243441.err,58797.3,0.070305,64,4,4,10,0.2,5.00E-05,0.001
train_54243442.err,55990.59,0.076181,64,4,4,10,0.3,5.00E-05,0.001
train_54243443.err,57411.25,0.0807,64,4,4,10,0.1,1.00E-05,0.001
train_54243444.err,59282.48,0.087272,64,4,4,10,0.2,1.00E-05,0.001
train_54243445.err,58619.86,0.093063,64,4,4,10,0.3,1.00E-05,0.001
train_54243446.err,65920.09,0.04608,64,4,8,10,0.1,0.0001,0.001
train_54243447.err,63627.16,0.057651,64,4,8,10,0.2,0.0001,0.001
train_54243448.err,60142.14,0.073968,64,4,8,10,0.3,0.0001,0.001
train_54243449.err,63880.96,0.061357,64,4,8,10,0.1,5.00E-05,0.001
train_54243450.err,60693.24,0.070993,64,4,8,10,0.2,5.00E-05,0.001
train_54243451.err,60204.38,0.077294,64,4,8,10,0.3,5.00E-05,0.001
train_54243452.err,57118.29,0.085072,64,4,8,10,0.1,1.00E-05,0.001
train_54243453.err,48392.59,0.102998,64,4,8,10,0.2,1.00E-05,0.001
train_54243454.err,48374.32,0.111213,64,4,8,10,0.3,1.00E-05,0.001
train_54243455.err,78338.66,0.046582,64,4,16,10,0.1,0.0001,0.001
train_54243456.err,78416.5,0.057886,64,4,16,10,0.2,0.0001,0.001
